index,country,cases,dead,recovered
1,United States,1208674,69680,159936
2,Spain,219329,25613,123486
3,Italy,211938,29079,82879
4,United Kingdom,190584,28734,No data
5,Germany,166276,6993,127643
6,Russia,155370,1451,19865
7,France,131863,25201,51371
8,Turkey,127659,3461,68166
9,Brazil,109046,7391,45815
10,Iran,99970,6340,80475
11,China,82881,4633,77853
12,Canada,61159,3915,26291
13,Belgium,50509,8016,12441
14,Peru,47372,1344,14427
15,India,46711,1583,13161
16,Netherlands,41087,5168,No data
17,Ecuador,31881,1569,3433
18,Saudi Arabia,30251,200,5431
19,Switzerland,30009,1483,25200
20,Portugal,25702,1074,1743
21,Mexico,24905,2271,15938
22,Sweden,23216,2854,1543
23,Chile,22016,275,10710
24,Ireland,21772,1319,13386
25,Pakistan,21501,486,5782
26,Singapore,19410,18,1519
27,Belarus,18350,107,3771
28,Qatar,17142,12,1924
29,Israel,16268,237,10223
30,Austria,15563,600,13316
31,Japan,15253,556,4496
32,United Arab Emirates,15192,146,3153
33,Poland,14431,716,4280
34,Romania,13837,827,5454
35,Ukraine,12697,316,1875
36,Indonesia,12071,872,2197
37,Bangladesh,10929,183,1403
38,South Korea,10804,254,9283
39,Denmark,9821,503,7296
40,Philippines,9684,637,1408
41,Serbia,9557,197,1574
42,Dominican Republic,8235,346,1771
43,Colombia,7973,358,1807
44,Norway,7904,214,7114
45,Czech Republic,7841,252,3816
46,Panama,7387,203,726
47,South Africa,7220,138,2746
48,Australia,6849,96,5889
49,Egypt,6813,436,1632
50,Malaysia,6383,106,4567
51,Kuwait,5804,40,2032
52,Finland,5412,246,3500
53,Morocco,5153,180,1799
54,Argentina,4874,260,1429
55,Algeria,4838,470,2067
56,Moldova,4248,133,1544
57,Kazakhstan,4179,29,1264
58,Luxembourg,3828,96,3379
59,Bahrain,3679,8,1762
60,Afghanistan,3224,95,421
61,Hungary,3065,363,709
62,Thailand,2988,54,2747
63,Nigeria,2802,93,417
64,Oman,2735,12,858
65,Ghana,2719,18,294
66,Greece,2632,146,1374
67,Armenia,2619,40,1111
68,Iraq,2346,98,1544
69,Uzbekistan,2189,10,1405
70,Croatia,2101,80,1522
71,Cameroon,2077,64,953
72,Azerbaijan,1984,26,1480
73,Bosnia & Herzegovina,1946,79,911
74,Puerto Rico,1843,97,No data
75,Iceland,1799,10,1723
76,Estonia,1711,55,261
77,Guinea,1710,9,450
78,Bulgaria,1689,78,342
79,Bolivia,1681,82,174
80,Cuba,1668,69,876
81,North Macedonia,1526,86,1013
82,New Zealand,1486,20,1302
83,Slovenia,1445,98,244
84,Ivory Coast,1432,17,653
85,Lithuania,1423,46,678
86,Slovakia,1421,25,741
87,Senegal,1329,11,470
88,Honduras,1178,83,122
89,Djibouti,1116,2,713
90,USS Theodore Roosevelt,1102,1,53
91,Charles de Gaulle,1081,0,0
92,Hong Kong,1041,4,900
93,Tunisia,1018,43,406
94,Latvia,896,17,348
95,Cyprus,874,15,296
